x,y
960,295
955,300
960,300
955,520
975,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,540
960,525
970,535
970,550
950,550
960,555
980,550
970,530
965,540
950,550
955,550
960,550
960,550
955,555
960,545
955,550
955,550
960,545
955,555
960,550
960,550
960,550
960,550
960,550
960,550
960,550
960,550
960,550
960,550
960,550
955,550
955,300
960,300
960,550
960,550
955,580
960,570
960,560
960,550
960,550
960,550
960,550
960,550
960,550
960,550
960,550
960,295
960,295
960,295
955,315
960,310
960,310
955,545
960,550
960,540
960,545
955,545
960,535
960,540
960,560
960,570
960,570
955,570
960,555
955,550
955,550
955,300
955,300
955,300
960,545
955,545
960,545
960,545
960,545
960,545
955,545
960,295
960,300
960,295
965,535
955,540
960,530
955,295
960,290
960,290
960,300
960,310
960,300
960,555
955,545
960,555
960,555
960,560
950,560
950,555
960,295
955,545
960,550
960,550
960,550
960,550
960,550
960,550
960,550
960,550
960,550
960,550
960,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
960,530
965,535
970,540
970,535
970,530
965,535
960,545
960,545
960,545
960,545
960,545
960,295
950,545
960,545
960,545
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,540
955,545
960,540
955,545
960,545
960,545
960,545
960,545
960,540
955,550
960,545
960,545
960,545
960,545
960,545
960,545
960,545
960,545
960,545
960,545
960,545
960,545
960,545
960,545
960,545
960,545
960,545
960,545
960,545
970,545
960,550
955,520
955,295
955,285
975,325
980,305
945,300
935,305
935,300
905,290
915,290
920,295
925,295
950,295
955,295
960,295
960,295
990,285
985,285
955,300
930,320
950,300
960,300
960,295
960,550
960,545
960,550
960,550
960,550
960,550
955,545
960,280
960,285
955,295
955,295
955,295
955,295
960,295
960,295
960,305
960,315
955,315
960,315
965,315
960,320
960,320
960,320
960,300
960,305
960,300
965,295
960,310
955,305
960,305
955,295
960,295
955,300
920,295
925,290
935,295
960,295
960,295
955,305
955,305
955,295
955,295
955,295
955,295
960,290
955,295
960,295
960,295
955,285
955,300
960,295
960,295
960,300
960,290
955,295
960,295
960,290
960,285
955,290
955,295
955,295
955,295
960,295
960,290
955,290
955,300
955,300
960,290
960,300
960,300
960,300
960,300
960,300
960,300
960,295
960,295
960,290
955,290
960,295
960,295
960,295
960,295
960,295
955,300
960,565
955,565
955,540
955,575
955,565
960,575
960,530
915,530
1090,550
970,535
955,300
955,305
965,295
960,530
960,525
965,530
945,540
960,545
955,545
945,545
950,550
955,545
950,550
950,550
955,545
960,300
945,540
950,545
970,540
960,540
955,550
945,525
960,530
965,535
955,535
960,530
960,530
935,530
970,525
955,560
955,560
955,555
955,300
955,305
955,305
960,310
955,310
960,305
960,305
955,555
945,545
960,550
960,550
955,310
955,315
950,295
1030,340
1050,335
1020,335
1000,345
955,300
955,300
955,305
960,305
955,305
955,305
955,305
960,295
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,315
955,295
960,555
960,555
965,545
955,305
955,305
955,575
955,550
955,550
955,550
970,555
970,555
950,295
960,300
960,295
955,300
960,300
960,300
960,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
955,300
965,305
960,305
960,305
960,305
960,305
960,305
960,305
960,305
960,305
960,305
960,305
960,300
955,305
955,305
960,300
955,300
960,290
960,295
960,295
960,295
960,295
960,295
955,300
960,300
960,300
960,300
960,300
955,300
940,310
955,300
950,300
950,300
945,305
950,300
950,300
950,300
955,290
955,295
955,295
960,540
960,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
960,510
960,310
955,310
950,305
955,310
940,320
940,315
940,310
940,305
945,300
950,300
950,300
955,300
960,295
960,295
960,295
960,295
955,295
955,295
955,295
955,295
960,295
960,290
950,305
950,305
940,310
935,310
935,310
935,305
935,305
935,305
930,310
940,300
935,300
965,295
975,295
975,290
970,290
965,295
960,295
960,295
960,300
960,305
960,305
960,305
960,295
960,295
960,300
950,560
960,555
960,555
950,540
960,565
950,560
950,555
960,555
960,555
960,555
960,555
960,555
960,555
965,555
965,555
960,555
965,550
960,555
960,555
960,555
960,555
960,555
960,555
960,555
960,555
955,560
955,560
960,555
960,555
955,555
955,560
960,560
960,555
960,555
960,555
955,560
955,560
960,560
955,560
960,560
955,560
955,570
960,545
960,550
960,550
960,555
960,555
960,560
955,560
955,560
955,560
955,560
955,560
955,560
955,560
960,560
960,560
960,560
960,560
960,560
960,560
960,560
960,560
960,560
960,560
960,560
960,560
960,560
960,560
960,560
960,560
955,555
960,300
960,550
975,550
955,555
960,565
960,555
955,560
960,555
960,555
960,555
960,555
960,555
960,545
960,305
1015,300
1015,300
980,285
960,285
980,295
920,300
915,300
920,300
920,300
960,290
940,295
935,295
940,295
945,295
955,295
950,290
945,295
975,295
925,305
965,300
960,295
920,305
930,335
960,290
1000,290
995,295
995,280
960,275
940,290
975,285
985,295
930,310
965,295
1025,295
970,295
965,295
960,300
955,300
945,300
960,295
960,300
960,300
950,300
1015,295
980,300
920,295
955,300
955,300
955,300
960,295
955,290
955,300
950,300
950,300
950,300
940,295
940,285
940,285
920,295
940,290
955,300
960,300
955,300
955,295
955,295
960,545
960,545
960,545
960,555
960,550
960,550
960,550
960,550
960,550
960,550
960,550
960,585
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
960,550
955,550
955,550
955,550
950,545
955,550
955,565
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
955,550
905,540
955,550
935,550
900,545
960,545
960,545
970,555
960,560
955,300
960,295
960,565
955,570
950,550
960,560
955,555
950,555
955,550
955,555
935,555
935,555
955,550
955,550
950,550
955,550
950,550
950,555
950,550
970,550
990,550
975,555
975,550
975,550
995,550
960,555
960,550
955,580
960,305
955,565
955,565
960,565
960,565
960,560
960,560
960,565
960,560
960,295
955,295
950,305
955,545
955,555
955,300
960,550
960,545
960,540
960,550
960,550
960,550
960,550
960,550
960,550
955,550
955,550
955,550
955,540
955,295
960,290
960,545
955,545
985,535
960,540
960,540
955,545
960,540
955,550
965,550
975,550
960,575
955,540
960,510
965,555
960,555
960,295
970,300
960,300
950,570
955,565
955,565
945,570
955,565
960,575
955,575
960,570
960,565
955,565
955,570
955,570
960,565
960,565
960,565
960,565
960,565
960,565
955,570
960,565
960,565
960,565
960,565
960,565
960,565
960,565
960,565
960,565
960,565
960,565
960,565
960,565
960,565
960,565
960,565
960,565
960,565
960,565
960,570
955,570
955,570
955,570
960,565
960,565
960,565
960,565
960,565
960,565
960,565
960,565
960,565
960,565
960,300
960,300
955,545
955,305
955,305
960,305
970,305
925,315
925,310
950,330
945,325
900,325
910,310
925,310
950,305
945,310
930,300
950,295
950,300
955,310
950,325
960,310
925,300
920,300
925,300
950,300
960,300
960,300
960,300
955,300
950,290
955,295
960,295
960,295
960,295
960,295
960,295
960,295
965,290
965,290
960,295
960,550
960,295
960,295
960,290
955,300
955,300
955,300
955,300
955,300
955,300
960,295
960,295
960,295
960,295
960,295
960,295
960,295
960,295
955,295
960,295
960,295
960,300
960,290
960,295
955,300
955,300
960,295
960,290
945,570
945,570
955,575
950,585
960,550
955,550
960,545
955,300
935,305
985,300
960,300
945,550
950,300
955,305
955,550
960,545
960,545
965,540
960,545
955,550
950,545
955,540
955,545
950,540
950,545
955,545
955,545
955,545
955,545
955,540
960,540
945,555
945,560
955,545
955,550
945,295
960,295
955,295
950,290
955,290
955,300
955,300
955,305
960,295
960,295
965,300
965,300
965,300
960,295
965,285
965,270
960,275
960,295
960,300
960,300
955,300
945,295
955,290
950,285
955,285
960,285
960,295
955,300
955,295
960,295
960,300
955,290
955,545
955,545
955,545
960,545
955,535
950,535
960,540
960,540
960,540
960,540
960,540
960,540
955,540
955,545
945,530
950,535
950,540
955,540
960,540
955,545
960,540
960,540
955,545
960,540
960,540
960,540
960,540
960,540
960,540
960,540
960,540
960,545
960,540
960,540
960,540
960,540
960,540
960,540
960,540
955,535
955,540
960,540
965,540
960,540
960,540
960,540
960,540
960,540
955,545
960,540
955,545
960,540
960,535
960,540
960,540
960,540
960,540
960,540
960,540
960,540
960,540
960,540
960,540
960,540
955,545
960,540
960,540
960,545
960,540
960,540
960,540
955,545
960,540
955,545
960,540
960,540
960,540
960,540
960,540
960,540
960,540
955,540
960,540
960,540
955,560
955,550
955,550
950,550
955,540
950,300
955,545
955,545
